wav_path,duration,transcript
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663225.wav,5.235,ni vyema mkulima kuvuna kwa wakti kuepuka fukuzi na viazi kuoza
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663604.wav,5.427,Hakikisha mzoga wenye kimeta umezikwa futi sita kwenda chini
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37836026.wav,6.429,Na anasema yeye ndie msimamizi halali wan chi hadi uchaguzi ufanyike.
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37836027.wav,4.244,Magonjwa yanayohusiana na uharibikaji wa mimba
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37920695.wav,5.014,Huwa hasa unaathiri wanyama wachache katika kundi na hupenda hasa maeneo ambayo hufurika maji
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37945295.wav,3.905,"Katika shambulizi moja, zaidi ya watu sitini huko Plaine Savo"
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806627.wav,5.811,Disemba mwaka elfu mbili na ishirini wa kuwaondoa wanajeshi mia saba wa kikosi maalum
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806900.wav,4.132,Kigali haijihusishi kwa namna yoyote na mashambulizi ya waasi hao
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37921395.wav,2.572,Mnamo mwezi Januari biashara kati ya Uganda na
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37921397.wav,0.914,na kupunguza pengo kutoka asilimia sabini na tano mwaka elfu moja mia tisa tisini na nne
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37922512.wav,5.468,Tuzo ya Kimataifa ya Wanawake Mashujaa kwa kuonyesha ujasiri usio wa kawaida
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663228.wav,4.076,Kikombe cha chai mbili gram hamsini cha unga wa soya
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37669736.wav,4.399,Kwa kutegemea unavyowalisha kuwatunza na ubora wa mbinu za kuyadhibiti maradhi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37669768.wav,3.226,Nguruwe hutoa virusi vingi vya ugonjwa wa miguu na midomo kwenye kinyesi kuliko kondoo
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37802730.wav,2.954,Dalili ya ugonjwa wa ndama kuhara ni macho ya mnyama kuingia ndani
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37802731.wav,1.46,Kudhibiti uzururaji wa mbwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37802855.wav,2.048,Mnyama kutafuta mahali penye kivuli
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806874.wav,8.159,"Wamepelekwa katika milima ya msituni ya mashariki mwa Poland ,kilomita chache tu kutoka mpaka wa Ukraine"
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806934.wav,3.771,Kuanzia mwaka elfu moja mia tisa sitini na mbili
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806950.wav,6.164,"Kitu chenye mvutano, ambapo nchi wanachama wanashindana kila mmoja kuwa mwenyeji wake,"
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662735.wav,8.932,safisha viazi vyako kabla ya kupika
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664202.wav,8.632,Mkutano wetu huko Marondera ulipigwa marufuku na bado mkutano wa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664680.wav,4.38,alisema Andrew Kaware mkurugenzi wa malipo ya taifa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37860481.wav,3.457,Kondoo na mbuzi wanaweza kuambukizwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37860482.wav,6.586,Moto wa pili wazuka kwenye jengo la bunge Afrika Kusini wadhibitiwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37860507.wav,4.849,wakati kikitumia sensa ya aina fulani
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37860526.wav,6.517,kwa Mfuko wa Kodi ya Maendeleo ya Petroli
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662764.wav,4.298,Matembele huweza kuliwa kwa ugali
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663850.wav,3.404,oka mkate wako wa viazi hadi uive
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664333.wav,4.848,hesabu vikombe saba vya unga kwenye sufuria la kukandia
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664587.wav,5.436,Unaweza tumia jiko la gasi kupika viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663411.wav,7.26,vitamini A iliyopo ndani ya viazi lishe ikipungua mwilini husababisha upofu kwa watoto
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663774.wav,2.48,funika viazi vyako kwa dakika arobaini
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663775.wav,3.966,Ukubwa wa kiganja Kitunguu Kikubwa moja
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664307.wav,4.164,Dodoma ni mkoa mmoja wapo wa mikoa inayolima viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665344.wav,2.818,Ushindani ni mkali
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665398.wav,2.108,Dalili za ugonjwa wa kichaaa kwa wanyama
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665400.wav,2.504,Huu ugonjwa wa homa la bonde la ufa huathiri binadamu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665530.wav,2.567,waliboresha mwongozo huu kwa kujumuisha
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806247.wav,4.056,au kutumia sindano chafu kumdungia mnyama mwingine
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806248.wav,4.144,Iran yaamua kusitisha mazungumzo yake ya siri na Saudi.
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37916603.wav,8.345,Aliwaambia wafuasi wake hataki siaza za Zimbabwe kusababisha kifo chochote
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37916632.wav,7.766,Ugonjwa huweza kuambukizwa pale wanyama wanapokaa mahali penye unyevunyevu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37916783.wav,4.665,iliyoanzishwa mwishoni mwa mwaka jana dhidi ya waasi wa kiislamu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664782.wav,2.38,Hakuna dalili za tahadhari kabla ya kupoteza fahamu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664905.wav,1.701,Wakati mchanganyiko unachemka
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665357.wav,2.616,ongeza mchicha kwenye mchanganyiko wako viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665513.wav,2.883,Unywaji wa maziwa kupita kiasi husababisha ugonjwa wa kuhara sana
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665659.wav,3.032,"Katika ukanda huo, Uganda ni nchi ya pili kwa"
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663222.wav,4.12,Viazi lishe ni moja ya mazao ambayo mizizi na majani huliwa kama chakula
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663417.wav,1.898,Mapishi mbalimbali ya viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663419.wav,2.822,Taratibu za kufuata kutengeneza viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663526.wav,2.406,inashauriwa kuosha viazi kabla ya kupika
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663692.wav,1.68,Kupika viazi bila maji
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663755.wav,1.463,katika maeneo kame
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37564698.wav,5.784,Katika juhudi za kulilenga vyema kundi la al-Shabaab na viongozi wake afisa mwandamizi wa utawala aliwaambia waandishi wa habari
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37564743.wav,3.893,Hakuna dalili mahususi kwa mnyama aliyekufa kwa ugonjwa wa kichaa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37564765.wav,4.449,Baadhi ya waasi hao walirudi Kongo kwa hiari huku wengine wakiamua kubaki katika kambi ya jeshi la Uganda ya Bihanga.
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37650404.wav,2.039,Ugonjwa wa miguu na midomo
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37650424.wav,2.17,tunza mkate wako wa viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37650449.wav,3.292,Majani ya viazi lishe huweza kuliwa kwa ndizi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662761.wav,2.944,Unawezaje kuandaa keki ya viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662843.wav,5.732,kutapanua biashara na ushirikiano wa kieneo
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662877.wav,3.649,namna ya kutunza shamba la viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663490.wav,2.004,Njia za kuanda viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663562.wav,2.877,Changanya viazi vilivyopondwa kwenye bakuli
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663825.wav,1.519,Kumi na mbili hadi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662836.wav,2.548,viazi lishe ni zao la ukame
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662906.wav,1.412,Weka sufuria yako jikoni
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663414.wav,1.873,ongeza mchicha kwenye viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663533.wav,3.155,samadi ya mbwa au paka haifai kwa viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663944.wav,2.194,fukia magugu yote kwenye matuta
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664561.wav,1.072,Unyonge wa mwili
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37865333.wav,3.184,ikidumaza huduma za usafiri wa immaculate
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37865865.wav,8.406,Wanyama wote wenye damu moto huathirika na ugonjwa wa kichaa cha mbwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37865884.wav,5.499,Bunge la Afrika Mashariki na kamati za kisekta kuhusu masuala
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37866003.wav,5.073,Uhamishaji au usafirishaji ama utembezaji wa wanyama
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37866219.wav,7.688,ambao ulisababishwa vifo vya maelfu ya watu mwaka tisini na tisa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37866271.wav,4.914,Mbu husambaza ugonjwa wa bonde la ufa kwa wanyama
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37866326.wav,1.776,kwato kuoza
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663045.wav,3.016,Weka pembeni viazi lishe vyako tayari kwa kupika
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663207.wav,2.863,Vitunguu swaumu vilivyo sagwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663211.wav,3.279,maziwa yatakayo hitajika ni kikombe kimoja
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663933.wav,2.847,tumia sukari vijiko viwili mbili vikubwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664050.wav,3.165,Kata viazi kwa vipingili vidogo vidogo
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664053.wav,3.934,anza kupika na kuyakoroga matembele kwa dakika tano
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664153.wav,5.376,mkulima anaweza kudhibiti magonjwa na wadudu hao kwa kuzingatia usafi wa shamba
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662915.wav,5.76,Weka pembeni viazi lishe vyako tayari kwa kupika
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663371.wav,5.256,changanya na Juisi ya chungwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664423.wav,6.711,ukosefu wa vitamini A iliyo kwenye viazi lishe hupelekea mtoto kuugua surua
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664772.wav,3.849,Tenga pembeni kwa dakika ishirini
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664773.wav,4.4,Utahitaji Sufuria dogo kwaajili ya kupikia viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664890.wav,4.176,Fata ushauri wa afisa kilimo wa serekali
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665297.wav,5.796,mtoto asipopata viatmini A iliyo ndani ya viazi lishe huweza kupata surua
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665361.wav,4.536,ongeza mchicha kwenye mchanganyiko wako viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37399034.wav,2.355,Hutokea mahali popote mwilini
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37399045.wav,4.863,Wanamgambo walisema kwenye mtandao wake wa mawasiliano
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37399046.wav,3.496,Shutuma zake dhidi ya Rwanda
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37399047.wav,5.262,Waliongeza operesheni ya pamoja ya kijeshi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37399097.wav,5.346,Pamoja na sehemu nyingine za dunia kupitia ukurasa wetu wa mtandao wa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37399099.wav,6.562,Hawajawahi hata mara moja kuomba idhini au kutoa notisi kwa polisi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37399100.wav,6.526,Serikali ya Rwanda vile vile imedai kwamba watu hao wawili walioasilishwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37399107.wav,4.433,Mbali na matangazo tuna vipindi vya televisheni kila wiki
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664606.wav,4.528,Tando za kamasi mdomoni na machoni kugeuka nyekundu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664648.wav,4.517,"Tatu kwa mwezi huo, juu zaidi kutoka dola milioni ishirini na tisa"
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664674.wav,4.832,kumi na mbili hadi shilingi elfu mbili mia sita tisini na mbili za Tanzania
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664694.wav,2.631,siku moja baada ya Saudi Arabia
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664702.wav,2.337,Dalili za ugonjwa wa ndorobo kwa ngamia
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664787.wav,5.46,Shambulizi liliua takribani raia kumi na tano katika kijiji kimoja
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664871.wav,4.78,Kukonda kwa mnyama ni dalili ya ugonjwa wa homa ya mapafu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664929.wav,4.443,Huua kwa nadra au mara chache lakini husababisha mimba kutoka
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665030.wav,3.015,jamii maskini nje ya mji wa Juba mjini
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663719.wav,3.298,kanda unga huku ukiongeza mafuta vijiko mbili
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663722.wav,1.833,viazi lishe huokwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663815.wav,2.916,weka kwenye sufuria
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664046.wav,1.67,udongo wenye magadi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664092.wav,2.302,Ongeza kitunguu na pilau masala
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664149.wav,5.044,Uvunaji wa viazi lishe unaweza kufanyika kwa mara moja
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664185.wav,2.333,hamira Kijiko cha chakula moja
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664208.wav,4.444,Vyombo na vifaa vinavyahitajika kutengeneza juisi ya viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664363.wav,3.016,Hatua za kufuata kupika maandazi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665471.wav,2.048,Wakati mchanganyiko unachemka
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37662930.wav,2.089,Utahitaji mafuta kupikia viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663511.wav,1.362,kilimo cha viazi lishe
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663634.wav,2.243,Ongeza vitunguu swaumu na kitunguu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663635.wav,5.604,beta karotini vitamini C na E kwenye viazi lishe husaidia kutukinga na magonjwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663636.wav,2.208,weka vitunguu kwenye sufuria ya kupikia
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663749.wav,4.553,unaweza kutumia unga wa viazi lishe kupika vyakula vya unga wa ngano
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663751.wav,2.311,Rudisha maji na upondeponde tena
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663912.wav,1.988,jinsi ya kutumia samadi kwa ubora wake
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664961.wav,3.5,mnyama asiye mgonjwa baadaye anapomnyonya damu mnyama mwingine
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665146.wav,4.322,Ili tufikie lengo letu mwaka wa elfu mbili ishirini na tatu la ushindi wa kishindo.
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665228.wav,2.089,Operesheni Shujaa iliongezwa siku ya Jumatano
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665269.wav,3.866,mwaka wa elfu mbili na ishirini na moja na limeongezeka kidogo tu katika mwaka huo
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665272.wav,3.595,Mji mkuu wa Uganda Kampala wenye takriban wakazi milioni mbili
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37329826.wav,7.097,Uingiliaji mkubwa zaidi wa kigeni nchini Congo katika kipindi cha muongo mmoja kando na operesheni ya kulinda Amani ya Umoja wa Mataifa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37329834.wav,3.328,Raila akataa matokeo ya uchaguzi wa rais Kenya
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37329859.wav,3.903,Ini lililofura kuvurugika na lenye madoadoa
